FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestIslamicChronology.java,TestIslamicChronology.java,TestIslamicChronology,12,26,487,22,0,22,true,true,false,true,false,false,false,false,false,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestISOChronology.java,TestISOChronology.java,TestISOChronology,17,24,282,20,0,20,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestJulianChronology.java,TestJulianChronology.java,TestJulianChronology,9,17,194,13,0,13,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestLenientChronology.java,TestLenientChronology.java,TestLenientChronology,6,14,55,10,0,10,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\ClassLoadTest.java,ClassLoadTest.java,ClassLoadTest,2,1,18,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestAll.java,TestAll.java,TestAll,3,2,16,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestCalendarConverter.java,TestCalendarConverter.java,TestCalendarConverter,18,11,61,8,0,8,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestConverterManager.java,TestConverterManager.java,TestConverterManager,34,139,299,63,0,63,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestConverterSet.java,TestConverterSet.java,TestConverterSet,12,17,70,9,0,9,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\convert\TestDateConverter.java,TestDateConverter.java,TestDateConverter,13,10,30,7,0,7,true,true,false,true,false,false,false,false,false,false
